department,n,canonical
Ag & Resource Economics,1,Ag & Res Econ
Agricultural & Resource Eco,1,Ag & Res Econ
Agricultural & Resources Economics,1,Ag & Res Econ
"Anatomy, Physiology & Cell Bio",3,"Anatomy, Physiology, & Cell Bio"
Anatomy/Physiology & Cell Biology,1,"Anatomy, Physiology, & Cell Bio"
Animal Science,2,Animal Science
Biochemistry & Molecular,1,Biochem & Mol Med
Biochemistry & Molecular Med,1,Biochem & Mol Med
Biochemistry & Molecular Med.,1,Biochem & Mol Med
Biochemistry & Molecular Medicine,2,Biochem & Mol Med
Biological & Agricultural Engineering,1,Bio & Ag Eng
Biomedical Eng,1,Biomed Eng
Biomedical Engineering,1,Biomed Eng
BISON,1,School of Nursing
Cell Bio & Human Anatomy,1,Cell Bio & Human Anatomy
Center for Health & the Environment,1,Center for Health & Enviro
Civil & Environmental Eng,8,Civil & Enviro Eng
Civil & Environmental Engineering,8,Civil & Enviro Eng
Earth & Planetary Sci,1,Earth & Planetary Sci
Earth & Planetary Sciences,4,Earth & Planetary Sci
Economics,2,Economics
Environmental Sci & Policy,2,Enviro Sci & Policy
Environmental Science & Policy,1,Enviro Sci & Policy
Environmental Toxicology,1,Enviro Tox
Evolution & Ecology,5,Evo & Eco
Family & Comm. Med.,4,Family & Comm Med
Food Sci & Technology,1,Food Sci & Tech
Hematology & Oncology,3,Hematology & Oncology
Hematology Oncology,6,Hematology & Oncology
Human Ecology,1,Human Eco
Infectious Diseases,2,Infectious Diseases
Internal Medicine,7,Internal Medicine
"Land, Air & Water Resources",7,"Land, Air, & Water Res"
Mechanical & Aerospace Eng,1,Mech & Aero Eng
Med & Epidemiology,1,Med & Epi
Microbiology,2,Med Microbio
Microbiology & Molecular,1,Microbio & Mol Genetics
Molecular & Cellular Bio,1,Mol & Cell Bio
Neurology,1,Neurology
Nutrition,4,Nutrition
OBGYN,1,OBGYN
Obstetrics & Gynecology,1,OBGYN
Pathology,5,Pathology
Pediatrics,2,Pediatrics
Physical Medicine & Rehab.,1,Phys Med & Rehab
Pop Health & Reproduction,1,Pop Health & Repro
Psychiatry,1,Psychiatry
Psychology,4,Psychology
Public Health Sci & Surgical & Radiological Sci,1,Public Health Sci
Public Health Sciences,10,Public Health Sci
Radiation Oncology,4,Radiation Oncology
Radiology,2,Radiology
Surgery,1,Surgery
Surgery Oncology,1,Surgical Oncology
Surgical & Radiological Sci,1,Surgical & Radiological Sci
Surgical & Radiological Sci.,1,Surgical & Radiological Sci
Surgical & Radiological Serv.,1,Surgical & Radiological Sci
Urology,3,Urology
Vet Med Anatomy,1,Vet Med Anatomy
"Wildlife, Fish, & Conservation Biology",3,"Wildlife, Fish, & Cons Bio"
